,reference,current,region,time,change,y
1,1098.6,1100.3,1,1,0.154742399,1
2,11123.7,11309.5,2,1,1.670307542,0
3,5911,6026.2,3,1,1.948908814,0
5,1091.6,1107.4,1,2,1.447416636,1
6,11118.5,11324.3,2,2,1.850969106,0
7,5937,6027.2,3,2,1.519285835,0
9,1096.8,1103.6,1,3,0.619985412,1
10,11127.1,11375.9,2,3,2.235982421,0
11,5939.4,6035.7,3,3,1.621375897,0
13,1096.5,1108.5,1,4,1.094391245,1
14,11125.5,11364.4,2,4,2.147319222,0
15,5960.3,6028.5,3,4,1.144237706,1
17,1094.5,1106.6,1,5,1.105527638,1
18,11158.9,11366.2,2,5,1.857709989,0
19,5981.7,6018.6,3,5,0.616881489,1
21,1092.7,1106.6,1,6,1.272078338,1
22,11179.2,11404,2,6,2.010877344,0
23,5997.2,6028.6,3,6,0.52357767,1
25,1090.4,1112.4,1,7,2.017608217,0
26,11209.1,11449.7,2,7,2.146470279,0
27,5991,6043.6,3,7,0.877983642,1
29,1089.7,1111.9,1,8,2.037257961,0
30,11247.7,11364.1,2,8,1.034878242,1
31,5998.2,6076.2,3,8,1.300390117,1
33,1091.2,1115.5,1,9,2.226906158,0
34,11265.5,11403.1,2,9,1.221428254,1
35,5976.2,6100.6,3,9,2.081590308,0
37,1097.2,1114.7,1,10,1.594969012,0
38,11294.7,11422.8,2,10,1.13416027,1
39,5979.4,6093.3,3,10,1.904873399,0
41,1098.2,1117,1,11,1.711892187,0
42,11339.4,11472.7,2,11,1.175547207,1
43,6001.5,6151.4,3,11,2.497708906,0
45,1108.7,1117.6,1,12,0.80274195,1
46,11368.9,11488.6,2,12,1.05287231,1
47,6038.5,6134.8,3,12,1.594766912,0
49,1100.3,1126.9,1,13,2.417522494,0
50,11309.5,11544.6,2,13,2.078783324,0
51,6026.2,6144.3,3,13,1.959775646,0
53,1107.4,1125.8,1,14,1.661549576,0
54,11324.3,11589.4,2,14,2.340983549,0
55,6027.2,6152.1,3,14,2.072272365,0
57,1103.6,1130.2,1,15,2.410293585,0
58,11375.9,11566.5,2,15,1.675471831,0
59,6035.7,6164.2,3,15,2.128999122,0
61,1108.5,1125.6,1,16,1.542625169,0
62,11364.4,11648.4,2,16,2.499032065,0
63,6028.5,6189.3,3,16,2.667330182,0
65,1107.5,1131.1,1,17,2.130925508,0
66,11366.2,11657.7,2,17,2.564621421,0
67,6018.6,6196.8,3,17,2.960821453,0
69,1106.6,1131,1,18,2.204952106,0
70,11404,11662.8,2,18,2.269379165,0
71,6028.6,6196.3,3,18,2.781740371,0
73,1112.4,1124.5,1,19,1.087738224,1
74,11449.7,11669.8,2,19,1.922321109,0
75,6043.6,6174.4,3,19,2.16427295,0
77,1111.9,1127.8,1,20,1.429984711,1
78,11364.1,11743.5,2,20,3.338583786,0
79,6076.2,6172.6,3,20,1.586517889,0
81,1115.5,1129.9,1,21,1.290900941,1
82,11403.1,11787.5,2,21,3.371013146,0
83,6100.6,6163.9,3,21,1.037602859,1
85,1114.7,1131.5,1,22,1.507131964,0
86,11422.8,11764.4,2,22,2.990510208,0
87,6093.3,6182.7,3,22,1.467185269,1
89,1117,1130.4,1,23,1.199641898,1
90,11472.7,11743.9,2,23,2.363872497,0
91,6151.4,6146,3,23,-0.087784894,1
93,1117.6,1129,1,24,1.020042949,1
94,11488.6,11800.6,2,24,2.715735599,0
95,6134.8,6144.7,3,24,0.161374454,1
97,1126.9,1134,1,25,0.630047032,1
98,11544.6,11832.6,2,25,2.494672834,0
99,6144.3,6139.4,3,25,-0.07974871,1
101,1125.8,1138.4,1,26,1.119204122,1
102,11589.4,11844.4,2,26,2.200286469,0
103,6152.1,6147.5,3,26,-0.074771216,1
105,1130.2,1086.4,1,27,-3.87542028,1
106,11566.5,11188.6,2,27,-3.267194052,1
107,6164.2,5858.8,3,27,-4.954414198,1
109,1125.6,966.7,1,28,-14.11691542,1
110,11648.4,9937.3,2,28,-14.6895711,1
111,6189.3,5237.4,3,28,-15.37976831,1
113,1131.1,1001.3,1,29,-11.47555477,1
114,11657.7,10121.5,2,29,-13.17755646,1
115,6196.8,5321.2,3,29,-14.12987348,1
117,1131,1056.5,1,30,-6.58709107,1
118,11662.8,10737.6,2,30,-7.932914909,1
119,6196.3,5591.5,3,30,-9.760663622,1
121,1124.5,1067.8,1,31,-5.042240996,1
122,11669.8,10984.6,2,31,-5.871565922,1
123,6174.4,5750.1,3,31,-6.871922778,1
125,1127.8,1080.5,1,32,-4.194006029,1
126,11743.5,11157.4,2,32,-4.990846,1
127,6172.6,5778.5,3,32,-6.384667725,1
129,1129.9,1095.8,1,33,-3.017966192,1
130,11787.5,11392.2,2,33,-3.353552492,1
131,6163.9,5900.6,3,33,-4.271646198,1
133,1131.5,1109.6,1,34,-1.935483871,1
134,11764.4,11411.4,2,34,-3.000578015,1
135,6182.7,5962.1,3,34,-3.568020444,1
137,1130.4,1128.9,1,35,-0.132696391,1
138,11743.9,11454.3,2,35,-2.465961052,1
139,6146,5954.3,3,35,-3.119101855,1
141,1129,1117.9,1,36,-0.983170948,1
142,11800.6,11439,2,36,-3.06425097,1
143,6144.7,5928.1,3,36,-3.524989015,1
145,1134,1125,1,37,-0.793650794,1
146,11832.6,11187.6,2,37,-5.451042036,1
147,6139.4,5959.4,3,37,-2.931882594,1
